,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals
948,3-4-3,221,423,0,292,2188,2264,4-2-3-1,219,606,147,172,2290,2191,3,2
949,4-2-3-1,213,423,503,224,2212,2206,4-4-2,216,410,379,225,2086,2106,2,0
950,4-4-2,371,727,136,419,2071,2255,4-2-3-1,245,562,0,87,2278,2314,0,2
951,3-5-2,286,593,70,287,2097,2105,4-4-2,217,462,150,155,2193,2254,1,2
952,4-2-3-1,203,411,128,280,2005,2034,3-5-2,236,538,84,242,2261,2279,2,2
953,4-4-2,287,437,134,366,2038,2187,4-5-1,227,700,171,206,2065,2233,1,1
954,4-2-3-1,221,577,71,296,2089,2369,4-2-3-1,272,282,195,271,1913,2062,3,0
955,4-2-3-1,217,497,123,156,2101,2195,4-4-1-1,229,741,296,82,2158,2255,1,2
956,4-2-3-1,238,515,61,300,2190,2204,3-4-3,231,552,325,239,2270,2261,1,2
957,4-2-3-1,243,624,321,367,2294,2258,3-5-2,221,423,0,292,2188,2264,1,0
958,4-3-3,219,606,147,172,2290,2191,3-5-2,193,336,284,314,2025,1969,2,0
959,4-2-3-1,238,515,61,300,2190,2204,4-2-3-1,245,562,0,87,2278,2314,2,0
960,4-4-2,213,423,503,224,2212,2206,4-2-3-1,231,552,325,239,2270,2261,1,1
961,4-4-2,371,727,136,419,2071,2255,3-4-3,272,282,195,271,1913,2062,1,2
962,3-4-3,219,606,147,172,2290,2191,3-5-2,217,462,150,155,2193,2254,2,1
963,3-4-3,286,593,70,287,2097,2105,3-5-2,229,741,296,82,2158,2255,0,3
964,4-2-3-1,203,411,128,280,2005,2034,4-5-1,227,700,171,206,2065,2233,1,1
965,4-4-2,287,437,134,366,2038,2187,4-3-2-1,236,538,84,242,2261,2279,1,0
966,4-2-3-1,221,577,71,296,2089,2369,3-4-3,221,423,0,292,2188,2264,2,1
967,4-4-1-1,217,497,123,156,2101,2195,4-3-3,216,410,379,225,2086,2106,4,0
968,4-3-3,243,624,321,367,2294,2258,3-5-2,193,336,284,314,2025,1969,2,0
969,3-5-2,193,336,284,314,2025,1969,3-4-3,217,497,123,156,2101,2195,1,0
970,4-3-3,231,552,325,239,2270,2261,4-4-1-1,371,727,136,419,2071,2255,3,0
971,4-5-1,227,700,171,206,2065,2233,4-2-3-1,238,515,61,300,2190,2204,1,1
972,4-4-2,217,462,150,155,2193,2254,3-4-3,213,423,503,224,2212,2206,1,0
973,4-1-4-1,229,741,296,82,2158,2255,4-4-2,287,437,134,366,2038,2187,1,2
974,4-2-3-1,245,562,0,87,2278,2314,4-2-3-1,203,411,128,280,2005,2034,4,0
975,4-4-2,236,538,84,242,2261,2279,4-3-3,243,624,321,367,2294,2258,0,1
976,3-4-3,221,423,0,292,2188,2264,3-4-3,286,593,70,287,2097,2105,1,1
977,3-5-2,272,282,195,271,1913,2062,4-3-3,219,606,147,172,2290,2191,1,6
978,4-4-2,216,410,379,225,2086,2106,4-2-3-1,221,577,71,296,2089,2369,0,3
979,4-2-3-1,238,515,61,300,2190,2204,3-5-2,193,336,284,314,2025,1969,1,1
980,4-4-2,213,423,503,224,2212,2206,3-4-3,272,282,195,271,1913,2062,1,1
981,4-3-3,219,606,147,172,2290,2191,4-5-1,227,700,171,206,2065,2233,2,2
982,3-4-3,286,593,70,287,2097,2105,4-3-3,231,552,325,239,2270,2261,1,0
983,4-2-3-1,203,411,128,280,2005,2034,4-3-3,216,410,379,225,2086,2106,1,0
984,4-4-2,287,437,134,366,2038,2187,3-4-3,221,423,0,292,2188,2264,2,3
985,4-2-3-1,221,577,71,296,2089,2369,4-3-3,236,538,84,242,2261,2279,0,0
986,4-4-1-1,217,497,123,156,2101,2195,4-4-2,217,462,150,155,2193,2254,1,1
987,4-4-2,371,727,136,419,2071,2255,4-1-4-1,229,741,296,82,2158,2255,2,1
988,4-3-3,243,624,321,367,2294,2258,3-4-1-2,245,562,0,87,2278,2314,2,0
989,3-4-3,272,282,195,271,1913,2062,4-2-3-1,221,577,71,296,2089,2369,2,1
990,4-4-1-1,216,410,379,225,2086,2106,4-4-2,213,423,503,224,2212,2206,3,1
991,4-3-3,231,552,325,239,2270,2261,4-2-3-1,238,515,61,300,2190,2204,2,2
992,4-5-1,227,700,171,206,2065,2233,4-4-2,287,437,134,366,2038,2187,0,2
993,4-4-2,217,462,150,155,2193,2254,3-4-3,286,593,70,287,2097,2105,2,2
994,3-5-2,193,336,284,314,2025,1969,3-4-3,219,606,147,172,2290,2191,0,1
995,4-1-4-1,229,741,296,82,2158,2255,3-5-2,217,497,123,156,2101,2195,4,1
996,4-2-3-1,245,562,0,87,2278,2314,4-4-2,371,727,136,419,2071,2255,0,2
997,4-2-3-1,236,538,84,242,2261,2279,4-2-3-1,203,411,128,280,2005,2034,2,1
998,3-4-1-2,221,423,0,292,2188,2264,4-3-3,243,624,321,367,2294,2258,1,2
999,3-4-3,217,497,123,156,2101,2195,4-3-3,243,624,321,367,2294,2258,0,2
1000,4-3-3,216,410,379,225,2086,2106,3-4-3,272,282,195,271,1913,2062,2,1
1001,4-5-1,227,700,171,206,2065,2233,3-5-2,193,336,284,314,2025,1969,0,1
1002,4-1-4-1,229,741,296,82,2158,2255,4-2-3-1,231,552,325,239,2270,2261,2,2
1003,4-3-3,243,624,321,367,2294,2258,4-4-2,287,437,134,366,2038,2187,4,0
1004,4-2-3-1,245,562,0,87,2278,2314,3-4-3,221,423,0,292,2188,2264,0,0
