,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals
1163,4-2-3-1,231,552,325,239,2270,2261,4-4-2,287,437,134,366,2038,2187,3,3
1164,4-3-3,217,462,150,155,2193,2254,4-3-3,243,624,321,367,2294,2258,2,2
1165,4-1-4-1,229,741,296,82,2158,2255,4-2-3-1,272,282,195,271,1913,2062,0,1
1166,4-4-2,227,700,171,206,2065,2233,3-4-3,213,423,503,224,2212,2206,1,1
1167,4-1-4-1,135,338,132,122,2089,2021,3-5-2,221,423,0,292,2188,2264,0,1
1168,4-2-3-1,272,282,195,271,1913,2062,4-4-1-1,135,338,132,122,2089,2021,0,3
1169,4-2-3-1,243,624,321,367,2294,2258,3-5-2,193,336,284,314,2025,1969,2,1
1170,4-3-3,287,279,272,416,2039,2144,4-4-2,227,700,171,206,2065,2233,1,2
1171,3-4-3,238,515,61,300,2190,2204,3-4-3,229,741,296,82,2158,2255,0,1
1172,4-4-2,287,437,134,366,2038,2187,4-3-3,217,462,150,155,2193,2254,2,0
1173,4-4-2,371,727,136,419,2071,2255,4-2-3-1,236,538,84,242,2261,2279,0,1
1174,4-3-3,243,624,321,367,2294,2258,3-4-3,217,497,123,156,2101,2195,2,1
1175,4-4-2,371,727,136,419,2071,2255,4-3-3,231,552,325,239,2270,2261,0,3
1176,4-2-3-1,272,282,195,271,1913,2062,4-4-2,287,437,134,366,2038,2187,3,4
1177,4-1-4-1,135,338,132,122,2089,2021,3-4-3,229,741,296,82,2158,2255,1,4
1178,4-2-3-1,287,279,272,416,2039,2144,4-1-4-1,265,337,132,193,1892,2003,2,0
1179,4-4-2,287,437,134,366,2038,2187,3-5-2,286,593,70,287,2097,2105,2,0
1180,4-3-3,231,552,325,239,2270,2261,3-5-2,193,336,284,314,2025,1969,4,1
1181,4-3-3,217,462,150,155,2193,2254,4-2-3-1,245,562,0,87,2278,2314,1,3
1182,4-4-2,227,700,171,206,2065,2233,3-5-1-1,135,338,132,122,2089,2021,4,1
1183,4-2-3-1,219,606,147,172,2290,2191,4-2-3-1,243,624,321,367,2294,2258,1,1
1184,3-4-3,229,741,296,82,2158,2255,3-4-3,221,423,0,292,2188,2264,1,0
1185,3-4-3,238,515,61,300,2190,2204,4-2-3-1,272,282,195,271,1913,2062,0,3
1186,4-2-3-1,272,282,195,271,1913,2062,3-4-1-2,213,423,503,224,2212,2206,1,2
1187,4-3-3,243,624,321,367,2294,2258,3-4-3,229,741,296,82,2158,2255,3,0
1188,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,238,515,61,300,2190,2204,0,0
1189,4-2-3-1,287,279,272,416,2039,2144,3-4-3,217,462,150,155,2193,2254,2,3
1190,4-4-2,371,727,136,419,2071,2255,4-4-2,227,700,171,206,2065,2233,1,0
1191,4-2-3-1,227,700,171,206,2065,2233,4-4-2,286,593,70,287,2097,2105,0,2
1192,4-2-3-1,219,606,147,172,2290,2191,4-4-1-1,371,727,136,419,2071,2255,5,0
1193,3-4-3,217,462,150,155,2193,2254,4-4-1-1,135,338,132,122,2089,2021,0,1
1194,4-3-3,231,552,325,239,2270,2261,4-2-3-1,236,538,84,242,2261,2279,0,0
1195,4-2-3-1,238,515,61,300,2190,2204,4-2-3-1,221,423,0,292,2188,2264,1,2
1196,4-4-2,287,437,134,366,2038,2187,4-4-2,245,562,0,87,2278,2314,2,3
1197,3-4-3,229,741,296,82,2158,2255,3-4-3,287,279,272,416,2039,2144,1,2
1198,4-2-3-1,219,606,147,172,2290,2191,3-4-1-2,287,279,272,416,2039,2144,2,0
1199,4-3-3,231,552,325,239,2270,2261,4-4-1-1,135,338,132,122,2089,2021,3,1
1200,4-4-2,371,727,136,419,2071,2255,3-4-3,217,462,150,155,2193,2254,1,1
1201,4-3-3,243,624,321,367,2294,2258,4-3-3,221,423,0,292,2188,2264,4,0
1202,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,217,497,123,156,2101,2195,1,2
1203,4-3-3,217,462,150,155,2193,2254,4-3-3,231,552,325,239,2270,2261,1,0
1204,3-4-3,229,741,296,82,2158,2255,4-2-3-1,213,423,503,224,2212,2206,3,0
1205,4-2-3-1,238,515,61,300,2190,2204,4-4-1-1,371,727,136,419,2071,2255,0,1
1206,4-4-2,227,700,171,206,2065,2233,4-2-3-1,236,538,84,242,2261,2279,1,1
1207,4-4-2,287,437,134,366,2038,2187,3-5-2,193,336,284,314,2025,1969,3,0
1208,3-4-3,287,279,272,416,2039,2144,4-3-3,243,624,321,367,2294,2258,1,1
1209,4-2-3-1,219,606,147,172,2290,2191,4-1-4-1,265,337,132,193,1892,2003,1,1
1210,4-3-3,243,624,321,367,2294,2258,4-4-2,236,538,84,242,2261,2279,2,1
1211,4-2-3-1,229,741,296,82,2158,2255,4-3-3,217,462,150,155,2193,2254,0,2
1212,3-4-3,238,515,61,300,2190,2204,4-4-2,287,437,134,366,2038,2187,1,1
1213,4-1-4-1,135,338,132,122,2089,2021,4-4-2,286,593,70,287,2097,2105,5,2
1214,3-4-3,287,279,272,416,2039,2144,3-4-3,213,423,503,224,2212,2206,0,0
1215,4-2-3-1,272,282,195,271,1913,2062,4-4-2,371,727,136,419,2071,2255,0,0
1216,4-2-3-1,217,462,150,155,2193,2254,3-4-3,238,515,61,300,2190,2204,2,1
1217,4-4-2,227,700,171,206,2065,2233,4-3-3,243,624,321,367,2294,2258,0,7
1218,4-4-2,287,437,134,366,2038,2187,4-2-3-1,219,606,147,172,2290,2191,0,1
1219,4-3-3,231,552,325,239,2270,2261,4-2-3-1,217,497,123,156,2101,2195,3,0
1220,4-4-2,371,727,136,419,2071,2255,3-4-1-2,221,423,0,292,2188,2264,2,1
1221,4-3-3,219,606,147,172,2290,2191,3-4-3,286,593,70,287,2097,2105,2,0
1222,4-2-3-1,229,741,296,82,2158,2255,4-2-3-1,245,562,0,87,2278,2314,2,2
1223,4-2-3-1,238,515,61,300,2190,2204,4-3-3,231,552,325,239,2270,2261,3,1
1224,4-2-3-1,272,282,195,271,1913,2062,4-4-2,227,700,171,206,2065,2233,3,0
1225,3-5-2,287,279,272,416,2039,2144,4-4-2,287,437,134,366,2038,2187,0,0
1226,4-3-3,243,624,321,367,2294,2258,4-5-1,265,337,132,193,1892,2003,1,1
1227,3-5-1-1,135,338,132,122,2089,2021,4-4-2,371,727,136,419,2071,2255,1,0
1228,4-3-3,231,552,325,239,2270,2261,4-2-3-1,272,282,195,271,1913,2062,1,1
1229,4-4-2,227,700,171,206,2065,2233,4-2-3-1,229,741,296,82,2158,2255,1,1
1230,4-4-2,287,437,134,366,2038,2187,4-5-1,217,497,123,156,2101,2195,0,0
1231,4-4-2,371,727,136,419,2071,2255,3-4-3,193,336,284,314,2025,1969,1,0
1232,4-2-3-1,217,462,150,155,2193,2254,4-2-3-1,217,497,123,156,2101,2195,0,1
1233,4-4-2,227,700,171,206,2065,2233,3-5-2,193,336,284,314,2025,1969,2,0
1234,4-3-3,231,552,325,239,2270,2261,4-2-3-1,219,606,147,172,2290,2191,1,3
1235,4-4-2,287,437,134,366,2038,2187,4-3-3,243,624,321,367,2294,2258,1,0
1236,4-4-2,371,727,136,419,2071,2255,4-2-3-1,245,562,0,87,2278,2314,0,1
1237,4-3-3,219,606,147,172,2290,2191,3-4-3,213,423,503,224,2212,2206,1,0
1238,4-2-3-1,238,515,61,300,2190,2204,4-4-2,227,700,171,206,2065,2233,0,0
1239,4-2-3-1,229,741,296,82,2158,2255,4-4-2,287,437,134,366,2038,2187,2,0
1240,4-5-1,135,338,132,122,2089,2021,3-4-3,213,423,503,224,2212,2206,0,1
1241,3-5-2,287,279,272,416,2039,2144,4-3-3,231,552,325,239,2270,2261,0,1
1242,4-3-3,219,606,147,172,2290,2191,4-1-4-1,227,700,171,206,2065,2233,4,0
1243,4-3-3,243,624,321,367,2294,2258,4-2-3-1,245,562,0,87,2278,2314,0,0
1244,4-2-3-1,238,515,61,300,2190,2204,4-4-2,286,593,70,287,2097,2105,3,0
1245,4-1-4-1,229,741,296,82,2158,2255,4-3-3,231,552,325,239,2270,2261,2,0
1246,4-3-3,219,606,147,172,2290,2191,4-2-3-1,272,282,195,271,1913,2062,2,0
1247,3-4-3,287,279,272,416,2039,2144,4-2-3-1,245,562,0,87,2278,2314,1,2
1248,4-3-3,243,624,321,367,2294,2258,4-4-2,371,727,136,419,2071,2255,0,1
1249,4-2-3-1,272,282,195,271,1913,2062,3-5-2,286,593,70,287,2097,2105,2,0
1250,4-4-2,227,700,171,206,2065,2233,4-2-3-1,217,497,123,156,2101,2195,2,3
1251,4-4-2,287,437,134,366,2038,2187,4-2-3-1,238,515,61,300,2190,2204,1,3
1252,4-2-3-1,231,552,325,239,2270,2261,3-4-1-2,221,423,0,292,2188,2264,0,0
1253,4-4-2,217,462,150,155,2193,2254,4-2-3-1,229,741,296,82,2158,2255,1,1
1254,4-4-2,371,727,136,419,2071,2255,4-2-3-1,272,282,195,271,1913,2062,3,2
1255,4-3-3,219,606,147,172,2290,2191,3-5-2,193,336,284,314,2025,1969,1,0
1256,4-2-3-1,238,515,61,300,2190,2204,4-2-3-1,245,562,0,87,2278,2314,0,0
1257,4-2-3-1,217,462,150,155,2193,2254,4-4-2,286,593,70,287,2097,2105,0,2
1258,4-2-3-1,227,700,171,206,2065,2233,3-4-3,221,423,0,292,2188,2264,1,0
1259,4-4-2,287,437,134,366,2038,2187,4-2-3-1,272,282,195,271,1913,2062,0,1
1260,3-4-3,231,552,325,239,2270,2261,4-4-2,371,727,136,419,2071,2255,2,0
1261,4-2-3-1,229,741,296,82,2158,2255,4-1-4-1,135,338,132,122,2089,2021,1,3
1262,4-3-3,243,624,321,367,2294,2258,3-4-3,213,423,503,224,2212,2206,0,1
1263,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,217,462,150,155,2193,2254,1,2
1264,4-2-3-1,272,282,195,271,1913,2062,4-2-3-1,217,497,123,156,2101,2195,1,3
1265,4-4-2,371,727,136,419,2071,2255,4-3-3,219,606,147,172,2290,2191,0,2
1266,3-4-3,287,279,272,416,2039,2144,4-2-3-1,229,741,296,82,2158,2255,0,2
1267,4-2-3-1,272,282,195,271,1913,2062,4-2-3-1,238,515,61,300,2190,2204,1,0
1268,4-4-2,371,727,136,419,2071,2255,3-4-1-2,213,423,503,224,2212,2206,1,1
1269,4-2-3-1,287,279,272,416,2039,2144,4-2-3-1,217,497,123,156,2101,2195,0,0
1270,4-3-3,243,624,321,367,2294,2258,4-3-3,219,606,147,172,2290,2191,1,4
1271,4-1-4-1,135,338,132,122,2089,2021,4-4-2,227,700,171,206,2065,2233,2,0
1272,4-3-3,219,606,147,172,2290,2191,4-2-3-1,236,538,84,242,2261,2279,3,0
1273,4-2-3-1,229,741,296,82,2158,2255,4-3-3,243,624,321,367,2294,2258,3,1
1274,4-4-2,227,700,171,206,2065,2233,4-4-2,371,727,136,419,2071,2255,0,3
1275,4-2-3-1,238,515,61,300,2190,2204,4-1-4-1,135,338,132,122,2089,2021,4,2
1276,4-4-2,217,462,150,155,2193,2254,4-4-2,287,279,272,416,2039,2144,0,2
1277,4-4-2,287,437,134,366,2038,2187,3-4-3,221,423,0,292,2188,2264,1,2
1278,3-4-3,231,552,325,239,2270,2261,4-3-3,286,593,70,287,2097,2105,2,0
1279,4-4-1-1,217,462,150,155,2193,2254,4-3-3,219,606,147,172,2290,2191,1,3
1280,4-4-2,371,727,136,419,2071,2255,4-4-1-1,287,279,272,416,2039,2144,1,1
1281,4-3-3,243,624,321,367,2294,2258,3-5-2,217,462,150,155,2193,2254,0,2
1282,4-4-2,287,437,134,366,2038,2187,3-4-3,231,552,325,239,2270,2261,1,1
1283,4-4-2,371,727,136,419,2071,2255,4-1-4-1,265,337,132,193,1892,2003,0,0
1284,4-2-3-1,287,279,272,416,2039,2144,3-5-2,193,336,284,314,2025,1969,1,0
1285,4-2-3-1,238,515,61,300,2190,2204,4-3-3,219,606,147,172,2290,2191,0,1
1286,4-2-3-1,272,282,195,271,1913,2062,4-2-3-1,229,741,296,82,2158,2255,1,2
1287,3-5-1-1,135,338,132,122,2089,2021,4-4-2,287,437,134,366,2038,2187,3,0
1288,4-3-3,219,606,147,172,2290,2191,3-4-3,217,497,123,156,2101,2195,2,1
1289,4-1-4-1,135,338,132,122,2089,2021,4-3-3,272,282,195,271,1913,2062,0,1
1290,3-4-3,231,552,325,239,2270,2261,4-2-3-1,245,562,0,87,2278,2314,0,0
1291,4-4-2,229,741,296,82,2158,2255,4-2-3-1,238,515,61,300,2190,2204,1,3
1292,4-3-3,227,700,171,206,2065,2233,4-2-3-1,287,279,272,416,2039,2144,0,0
1293,4-4-2,217,462,150,155,2193,2254,4-4-2,287,437,134,366,2038,2187,1,0
1294,4-3-3,219,606,147,172,2290,2191,3-4-3,221,423,0,292,2188,2264,4,1
1295,4-4-2,227,700,171,206,2065,2233,4-2-3-1,245,562,0,87,2278,2314,0,0
1296,4-4-2,371,727,136,419,2071,2255,3-5-2,229,741,296,82,2158,2255,1,1
1297,4-3-3,243,624,321,367,2294,2258,3-4-3,231,552,325,239,2270,2261,0,1
1298,4-4-2,287,279,272,416,2039,2144,4-2-3-1,236,538,84,242,2261,2279,0,1
1299,4-3-3,272,282,195,271,1913,2062,3-4-3,221,423,0,292,2188,2264,0,0
1300,4-4-2,371,727,136,419,2071,2255,4-2-3-1,238,515,61,300,2190,2204,1,1
1301,4-3-3,219,606,147,172,2290,2191,4-2-3-1,245,562,0,87,2278,2314,0,2
1302,4-3-3,243,624,321,367,2294,2258,4-4-2,287,279,272,416,2039,2144,0,1
1303,3-4-3,231,552,325,239,2270,2261,3-4-1-2,217,462,150,155,2193,2254,2,0
1304,4-3-3,219,606,147,172,2290,2191,4-2-3-1,287,437,134,366,2038,2187,5,2
1305,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,231,552,325,239,2270,2261,0,0
1306,4-4-2,217,462,150,155,2193,2254,4-4-2,371,727,136,419,2071,2255,1,2
1307,4-4-2,227,700,171,206,2065,2233,4-1-4-1,265,337,132,193,1892,2003,1,0
1308,4-3-3,287,279,272,416,2039,2144,3-4-3,219,606,147,172,2290,2191,0,3
1309,3-4-1-2,229,741,296,82,2158,2255,3-5-2,193,336,284,314,2025,1969,5,0
1310,4-2-3-1,238,515,61,300,2190,2204,4-2-3-1,236,538,84,242,2261,2279,2,1
1311,4-3-3,287,437,134,366,2038,2187,4-4-2,213,423,503,224,2212,2206,1,2
1312,4-2-3-1,287,279,272,416,2039,2144,4-1-4-1,135,338,132,122,2089,2021,1,2
1313,4-3-3,272,282,195,271,1913,2062,4-4-2,236,538,84,242,2261,2279,0,2
1314,3-4-3,231,552,325,239,2270,2261,3-4-3,265,337,132,193,1892,2003,2,5
1315,3-4-1-2,229,741,296,82,2158,2255,4-2-3-1,219,606,147,172,2290,2191,0,2
1316,4-2-3-1,238,515,61,300,2190,2204,4-3-3,243,624,321,367,2294,2258,0,3
1317,4-1-4-1,135,338,132,122,2089,2021,3-5-2,193,336,284,314,2025,1969,2,1
1318,4-2-3-1,272,282,195,271,1913,2062,4-2-3-1,287,279,272,416,2039,2144,3,1
1319,4-4-2,287,437,134,366,2038,2187,4-4-2,371,727,136,419,2071,2255,3,2
1320,3-4-1-2,217,462,150,155,2193,2254,4-4-2,227,700,171,206,2065,2233,1,1
1321,3-4-3,287,279,272,416,2039,2144,4-2-3-1,221,423,0,292,2188,2264,0,1
1322,4-3-3,219,606,147,172,2290,2191,4-3-3,135,338,132,122,2089,2021,1,2
1323,4-3-3,243,624,321,367,2294,2258,4-2-3-1,272,282,195,271,1913,2062,2,1
1324,4-4-2,227,700,171,206,2065,2233,3-4-3,231,552,325,239,2270,2261,1,4
1325,4-4-2,371,727,136,419,2071,2255,3-5-2,286,593,70,287,2097,2105,1,2
1326,3-5-1-1,217,462,150,155,2193,2254,3-4-1-2,236,538,84,242,2261,2279,2,2
1327,4-2-3-1,238,515,61,300,2190,2204,4-4-2,287,279,272,416,2039,2144,1,1
1328,4-1-4-1,135,338,132,122,2089,2021,4-3-3,243,624,321,367,2294,2258,1,1
1329,3-4-3,231,552,325,239,2270,2261,3-5-2,213,423,503,224,2212,2206,0,0
1330,4-1-4-1,272,282,195,271,1913,2062,4-3-3,219,606,147,172,2290,2191,1,2
1331,3-4-1-2,229,741,296,82,2158,2255,4-4-1-1,265,337,132,193,1892,2003,3,0
1332,4-2-3-1,238,515,61,300,2190,2204,4-2-3-1,217,462,150,155,2193,2254,0,1
1333,4-4-2,243,624,321,367,2294,2258,3-5-2,286,593,70,287,2097,2105,1,1
1334,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,245,562,0,87,2278,2314,0,0
1335,4-2-3-1,272,282,195,271,1913,2062,4-1-4-1,265,337,132,193,1892,2003,2,2
1336,3-4-1-2,229,741,296,82,2158,2255,4-3-3,227,700,171,206,2065,2233,2,1
1337,4-4-2,287,437,134,366,2038,2187,3-4-1-2,229,741,296,82,2158,2255,1,1
1338,3-5-2,231,552,325,239,2270,2261,4-2-3-1,287,279,272,416,2039,2144,2,0
1339,4-2-3-1,217,462,150,155,2193,2254,4-2-3-1,272,282,195,271,1913,2062,1,2
1340,4-3-3,227,700,171,206,2065,2233,4-4-1-1,219,606,147,172,2290,2191,0,2
1341,4-4-2,371,727,136,419,2071,2255,4-2-3-1,217,497,123,156,2101,2195,1,2
1342,3-4-1-2,229,741,296,82,2158,2255,3-5-2,286,593,70,287,2097,2105,2,4
1343,3-5-2,219,606,147,172,2290,2191,3-4-3,231,552,325,239,2270,2261,1,2
1344,4-3-3,243,624,321,367,2294,2258,4-4-2,287,437,134,366,2038,2187,2,0
1345,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,236,538,84,242,2261,2279,3,1
1346,4-2-3-1,238,515,61,300,2190,2204,4-4-1-1,265,337,132,193,1892,2003,3,1
1347,4-2-3-1,272,282,195,271,1913,2062,4-2-3-1,245,562,0,87,2278,2314,1,3
1348,4-2-3-1,287,279,272,416,2039,2144,4-4-2,371,727,136,419,2071,2255,0,2
1349,4-4-2,287,437,134,366,2038,2187,4-3-3,227,700,171,206,2065,2233,3,1
1350,3-4-3,231,552,325,239,2270,2261,3-4-3,238,515,61,300,2190,2204,0,1
1351,4-2-3-1,272,282,195,271,1913,2062,4-4-2,217,462,150,155,2193,2254,0,0
1352,4-4-2,287,437,134,366,2038,2187,3-4-3,287,279,272,416,2039,2144,3,1
1353,4-4-2,371,727,136,419,2071,2255,4-1-4-1,135,338,132,122,2089,2021,0,4
1354,4-2-3-1,217,462,150,155,2193,2254,3-4-3,193,336,284,314,2025,1969,0,1
1355,4-3-3,227,700,171,206,2065,2233,4-2-3-1,272,282,195,271,1913,2062,3,2
1356,3-4-3,231,552,325,239,2270,2261,3-4-3,229,741,296,82,2158,2255,2,1
1357,4-4-2,287,437,134,366,2038,2187,3-5-1-1,135,338,132,122,2089,2021,0,2
1358,4-4-2,217,462,150,155,2193,2254,3-4-1-2,221,423,0,292,2188,2264,1,0
1359,4-3-3,227,700,171,206,2065,2233,4-2-3-1,238,515,61,300,2190,2204,1,3
1360,4-4-1-1,371,727,136,419,2071,2255,4-3-3,243,624,321,367,2294,2258,0,3
1361,4-3-3,219,606,147,172,2290,2191,4-4-2,217,462,150,155,2193,2254,5,0
1362,4-3-3,243,624,321,367,2294,2258,4-3-3,227,700,171,206,2065,2233,2,0
1363,4-4-2,229,741,296,82,2158,2255,4-2-3-1,236,538,84,242,2261,2279,2,4
1364,4-2-3-1,238,515,61,300,2190,2204,4-3-3,213,423,503,224,2212,2206,2,0
1365,3-4-3,135,338,132,122,2089,2021,3-5-2,265,337,132,193,1892,2003,3,1
1366,4-2-3-1,272,282,195,271,1913,2062,3-4-3,231,552,325,239,2270,2261,2,1
1367,3-4-3,287,279,272,416,2039,2144,3-5-2,286,593,70,287,2097,2105,0,2
1368,3-5-2,194,211,58,129,1868,1923,4-2-3-1,238,515,61,300,2190,2204,2,0
1369,3-4-3,231,552,325,239,2270,2261,4-4-2,227,700,171,206,2065,2233,3,0
1370,4-2-3-1,229,741,296,82,2158,2255,3-4-3,221,423,0,292,2188,2264,1,0
1371,4-4-2,371,727,136,419,2071,2255,4-1-4-1,213,423,503,224,2212,2206,1,2
1372,4-2-3-1,217,462,150,155,2193,2254,4-4-2,287,437,134,366,2038,2187,3,1
1373,4-5-1,221,577,71,296,2089,2369,4-2-3-1,272,282,195,271,1913,2062,3,2
1374,4-3-3,219,606,147,172,2290,2191,4-3-3,203,411,128,280,2005,2034,5,0
1375,4-3-3,227,700,171,206,2065,2233,3-5-2,194,211,58,129,1868,1923,0,0
1376,4-3-3,272,282,195,271,1913,2062,3-5-2,286,593,70,287,2097,2105,2,0
1377,3-4-3,135,338,132,122,2089,2021,4-4-1-1,217,462,150,155,2193,2254,2,2
1378,4-2-3-1,238,515,61,300,2190,2204,3-4-3,231,552,325,239,2270,2261,0,2
1379,4-4-2,287,437,134,366,2038,2187,4-2-3-1,245,562,0,87,2278,2314,1,1
1380,4-3-3,219,606,147,172,2290,2191,3-4-3,238,515,61,300,2190,2204,5,0
1381,4-5-1,272,282,195,271,1913,2062,3-4-1-2,194,211,58,129,1868,1923,1,1
1382,4-3-3,203,411,128,280,2005,2034,4-4-2,229,741,296,82,2158,2255,1,2
1383,4-4-2,371,727,136,419,2071,2255,3-5-1-1,135,338,132,122,2089,2021,1,1
1384,3-4-3,231,552,325,239,2270,2261,3-5-2,272,282,195,271,1913,2062,3,0
1385,4-2-3-1,238,515,61,300,2190,2204,4-3-3,203,411,128,280,2005,2034,1,0
1386,4-2-3-1,229,741,296,82,2158,2255,4-3-3,219,606,147,172,2290,2191,0,1
1387,3-5-2,194,211,58,129,1868,1923,3-4-1-2,213,423,503,224,2212,2206,0,1
1388,4-1-4-1,287,437,134,366,2038,2187,4-2-3-1,217,497,123,156,2101,2195,0,0
1389,4-3-3,227,700,171,206,2065,2233,4-4-2,236,538,84,242,2261,2279,3,0
1390,4-5-1,221,577,71,296,2089,2369,3-4-3,221,423,0,292,2188,2264,0,2
1391,3-4-3,217,462,150,155,2193,2254,4-4-2,371,727,136,419,2071,2255,3,1
1392,4-3-3,219,606,147,172,2290,2191,4-4-2,287,437,134,366,2038,2187,0,0
1393,3-5-2,272,282,195,271,1913,2062,4-4-1-1,217,462,150,155,2193,2254,3,0
1394,4-4-2,371,727,136,419,2071,2255,4-1-4-1,238,515,61,300,2190,2204,0,1
1395,4-3-3,203,411,128,280,2005,2034,4-2-3-1,221,577,71,296,2089,2369,1,3
1396,3-5-2,231,552,325,239,2270,2261,4-3-3,219,606,147,172,2290,2191,0,1
1397,4-3-3,229,741,296,82,2158,2255,4-4-2,371,727,136,419,2071,2255,2,2
1398,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,217,497,123,156,2101,2195,1,2
1399,4-4-1-1,217,462,150,155,2193,2254,3-5-2,203,411,128,280,2005,2034,2,0
1400,4-2-3-1,221,577,71,296,2089,2369,4-1-4-1,286,593,70,287,2097,2105,1,1
1401,4-2-3-1,238,515,61,300,2190,2204,4-3-3,236,538,84,242,2261,2279,3,1
1402,4-4-2,287,437,134,366,2038,2187,3-4-3,221,423,0,292,2188,2264,0,1
1403,4-3-3,227,700,171,206,2065,2233,3-4-3,213,423,503,224,2212,2206,1,1
1404,3-4-3,231,552,325,239,2270,2261,4-4-2,287,437,134,366,2038,2187,3,1
1405,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,221,577,71,296,2089,2369,1,0
1406,4-4-2,371,727,136,419,2071,2255,3-5-2,203,411,128,280,2005,2034,0,0
1407,4-3-3,227,700,171,206,2065,2233,4-4-2,229,741,296,82,2158,2255,2,2
1408,4-3-3,219,606,147,172,2290,2191,4-4-2,371,727,136,419,2071,2255,2,0
1409,3-4-1-2,229,741,296,82,2158,2255,4-2-3-1,245,562,0,87,2278,2314,4,2
1410,3-5-2,194,211,58,129,1868,1923,3-5-2,231,552,325,239,2270,2261,0,1
1411,4-4-2,287,437,134,366,2038,2187,3-4-3,135,338,132,122,2089,2021,1,0
1412,3-4-1-2,272,282,195,271,1913,2062,3-4-3,221,423,0,292,2188,2264,2,3
1413,3-5-2,203,411,128,280,2005,2034,3-5-2,213,423,503,224,2212,2206,0,0
1414,4-4-1-1,217,462,150,155,2193,2254,4-2-3-1,217,497,123,156,2101,2195,0,1
1415,4-1-4-1,238,515,61,300,2190,2204,4-2-3-1,227,700,171,206,2065,2233,2,2
1416,4-2-3-1,238,515,61,300,2190,2204,3-4-1-2,272,282,195,271,1913,2062,3,1
1417,3-4-3,231,552,325,239,2270,2261,3-5-2,203,411,128,280,2005,2034,7,0
1418,4-4-2,287,437,134,366,2038,2187,4-4-2,371,727,136,419,2071,2255,2,2
1419,4-3-3,227,700,171,206,2065,2233,3-5-2,286,593,70,287,2097,2105,1,1
1420,4-4-1-1,135,338,132,122,2089,2021,3-4-3,221,423,0,292,2188,2264,1,1
1421,4-4-1-1,217,462,150,155,2193,2254,4-1-4-1,221,577,71,296,2089,2369,2,5
1422,3-5-2,194,211,58,129,1868,1923,3-4-1-2,229,741,296,82,2158,2255,1,2
1423,4-3-3,219,606,147,172,2290,2191,4-3-3,227,700,171,206,2065,2233,0,2
1424,3-4-1-2,229,741,296,82,2158,2255,4-4-1-1,238,515,61,300,2190,2204,0,2
1425,4-4-2,371,727,136,419,2071,2255,3-5-2,194,211,58,129,1868,1923,3,1
1426,4-4-1-1,221,577,71,296,2089,2369,4-4-2,287,437,134,366,2038,2187,0,1
1427,4-3-3,272,282,195,271,1913,2062,4-2-3-1,217,497,123,156,2101,2195,1,4
1428,3-5-2,203,411,128,280,2005,2034,3-5-1-1,135,338,132,122,2089,2021,1,2
1429,4-4-2,287,437,134,366,2038,2187,4-2-3-1,272,282,195,271,1913,2062,1,0
1430,3-4-1-2,231,552,325,239,2270,2261,4-4-2,371,727,136,419,2071,2255,1,1
1431,3-5-2,194,211,58,129,1868,1923,4-2-3-1,203,411,128,280,2005,2034,1,2
1432,4-3-3,227,700,171,206,2065,2233,3-4-3,221,423,0,292,2188,2264,2,0
1433,4-4-1-1,238,515,61,300,2190,2204,4-5-1,221,577,71,296,2089,2369,1,0
1434,4-2-3-1,135,338,132,122,2089,2021,4-3-3,229,741,296,82,2158,2255,1,1
1435,4-4-1-1,217,462,150,155,2193,2254,3-4-3,236,538,84,242,2261,2279,0,0
1436,3-4-3,229,741,296,82,2158,2255,3-4-3,231,552,325,239,2270,2261,0,3
1437,4-3-3,272,282,195,271,1913,2062,3-5-2,213,423,503,224,2212,2206,2,0
1438,4-4-2,371,727,136,419,2071,2255,4-2-3-1,227,700,171,206,2065,2233,3,3
1439,4-1-4-1,221,577,71,296,2089,2369,4-2-3-1,245,562,0,87,2278,2314,4,1
1440,4-3-3,203,411,128,280,2005,2034,4-4-2,287,437,134,366,2038,2187,2,1
1441,4-3-3,219,606,147,172,2290,2191,4-4-1-1,217,462,150,155,2193,2254,3,0
1442,4-4-1-1,238,515,61,300,2190,2204,4-4-2,286,593,70,287,2097,2105,2,0
1443,4-2-3-1,227,700,171,206,2065,2233,4-3-3,272,282,195,271,1913,2062,1,2
1444,4-1-4-1,203,411,128,280,2005,2034,3-4-3,221,423,0,292,2188,2264,0,0
1445,4-3-3,219,606,147,172,2290,2191,4-2-3-1,217,497,123,156,2101,2195,2,1
1446,3-4-3,231,552,325,239,2270,2261,4-4-2,245,562,0,87,2278,2314,1,1
1447,4-2-3-1,229,741,296,82,2158,2255,4-5-1,221,577,71,296,2089,2369,4,2
1448,3-5-2,194,211,58,129,1868,1923,4-4-1-1,217,462,150,155,2193,2254,1,0
